caseid,totalnewsbinary_post_All_ref,totalnewscount_post_All_ref,log_news_post_All_ref,Average_domain_NewsG_Score_post_All_ref,Count_Reliable_NewsG_Score_post_All_ref,Count_Unreliable_NewsG_Score_post_All_ref,Prop_Reliable_NewsG_Score_post_All_ref,Prop_Unreliable_NewsG_Score_post_All_ref
1151617469,1,6,1.791759469228055,NaN,0,0,0,0
1151617537,1,13,2.5649493574615367,94.75,1.0413926851582251,0,0.7692307692307693,0
1151617543,1,32,3.4657359027997265,89.27777777777777,1.2787536009528289,0,0.5625,0
1151617553,1,11,2.3978952727983707,86.36363636363636,1.0791812460476249,0,1,0
1151617577,1,6,1.791759469228055,90,0.6020599913279624,0,0.5,0
1151617579,1,4,1.3862943611198906,90,0.6989700043360189,0,1,0
1151617595,1,18,2.8903717578961645,90,1.2787536009528289,0,1,0
1151617609,1,1,0,82.5,0.3010299956639812,0,1,0
1151617613,1,34,3.5263605246161616,92.47058823529412,1.2304489213782739,0.3010299956639812,0.47058823529411764,0.029411764705882353
1151617639,1,71,4.2626798770413155,98.515625,1.8129133566428555,0,0.9014084507042254,0
1151617641,1,299,5.700443573390687,91.94067796610169,2.4712917110589387,0,0.9866220735785953,0
1151617645,1,47,3.8501476017100584,87.78048780487805,1.6020599913279623,0.47712125471966244,0.8297872340425532,0.0425531914893617
1151617661,1,12,2.4849066497880004,94.75,1.0413926851582251,0,0.8333333333333334,0
1151617665,1,81,4.394449154672439,90.9375,1.9084850188786497,0,0.9876543209876543,0
1151617673,1,7,1.9459101490553132,100,0.6989700043360189,0,0.5714285714285714,0
1151617681,1,1,0,NaN,0,0,0,0
1151617697,1,4,1.3862943611198906,90,0.6020599913279624,0,0.75,0
1151617707,1,64,4.1588830833596715,95.5,1.7781512503836436,0.3010299956639812,0.921875,0.015625
1151617755,1,4,1.3862943611198906,87.5,0.3010299956639812,0,0.25,0
1151617757,1,46,3.828641396489095,47,0,0.3010299956639812,0,0.021739130434782608
1151617759,1,3,1.0986122886681098,47.333333333333336,0.3010299956639812,0.47712125471966244,0.3333333333333333,0.6666666666666666
1151617761,1,13,2.5649493574615367,54.166666666666664,0.6020599913279624,0.8450980400142568,0.23076923076923078,0.46153846153846156
1151617769,1,2,0.6931471805599453,87.5,0.47712125471966244,0,1,0
1151617775,1,27,3.295836866004329,90.83333333333333,0.8450980400142568,0,0.2222222222222222,0
1151617785,1,3,1.0986122886681098,77.33333333333333,0.47712125471966244,0.3010299956639812,0.6666666666666666,0.3333333333333333
1151617789,1,116,4.7535901911063645,92.359375,1.9822712330395684,0.3010299956639812,0.8189655172413793,0.008620689655172414
1151617835,1,6,1.791759469228055,96.5,0.7781512503836436,0,0.8333333333333334,0
1151617837,1,1,0,75,0.3010299956639812,0,1,0
1151617843,1,14,2.6390573296152584,90,0.3010299956639812,0,0.07142857142857142,0
1151617855,1,9,2.1972245773362196,82.78571428571429,0.8450980400142568,0.3010299956639812,0.6666666666666666,0.1111111111111111
1151617867,1,61,4.110873864173311,96.85483870967742,1.505149978319906,0,0.5081967213114754,0
1151617879,1,6,1.791759469228055,81.75,0.6020599913279624,0.3010299956639812,0.5,0.16666666666666666
1151617889,1,1,0,52,0,0.3010299956639812,0,1
1151617891,1,10,2.302585092994046,95.25,1.0413926851582251,0,1,0
1151617895,1,30,3.4011973816621555,89.08333333333333,0.8450980400142568,0,0.2,0
1151617937,1,20,2.995732273553991,94.86842105263158,1.3010299956639813,0,0.95,0
1151617939,1,8,2.0794415416798357,92.08333333333333,0.8450980400142568,0,0.75,0
1151617941,1,3,1.0986122886681098,93.33333333333333,0.6020599913279624,0,1,0
1151617943,1,12,2.4849066497880004,82.83333333333333,1.0413926851582251,0.47712125471966244,0.8333333333333334,0.16666666666666666
1151617945,1,42,3.7376696182833684,87.72727272727273,1.5314789170422551,0,0.7857142857142857,0
1151617949,1,10,2.302585092994046,88.05555555555556,1,0,0.9,0
1151617955,1,24,3.1780538303479458,85.92105263157895,1.3010299956639813,0,0.7916666666666666,0
1151617959,1,60,4.0943445622221,74.25,1.7708520116421442,0,0.9666666666666667,0
1151617961,1,67,4.204692619390966,82.9622641509434,1.6989700043360187,0.6989700043360189,0.7313432835820896,0.05970149253731343
1151617965,1,219,5.389071729816501,89.39303482587064,2.3010299956639813,0.47712125471966244,0.908675799086758,0.0091324200913242
1151617981,1,194,5.267858159063328,92.27272727272727,1.6532125137753437,0,0.2268041237113402,0
1151617989,1,2,0.6931471805599453,100,0.47712125471966244,0,1,0
1151617995,1,23,3.1354942159291497,89.975,1.2787536009528289,0.47712125471966244,0.782608695652174,0.08695652173913043
1151617999,1,3,1.0986122886681098,91.25,0.47712125471966244,0,0.6666666666666666,0
1151618007,1,53,3.970291913552122,87.5,1.724275869600789,0,0.9811320754716981,0
1151618009,1,1,0,95,0.3010299956639812,0,1,0
1151618023,1,85,4.442651256490317,85.33333333333333,0.7781512503836436,0.3010299956639812,0.058823529411764705,0.011764705882352941
1151618031,1,922,6.826545223556594,87.64301430143014,2.9590413923210934,0,0.9859002169197397,0
1151618033,1,1,0,87.5,0.3010299956639812,0,1,0
1151618045,1,11,2.3978952727983707,97.27272727272727,1.0791812460476249,0,1,0
