caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_post,Count_Reliable_NewsG_Score_post,Count_Unreliable_NewsG_Score_post,Prop_Reliable_NewsG_Score_post,Prop_Unreliable_NewsG_Score_post,partisanship_news_diet_post,Prop_Reliable_NewsG_Score_post_dur,Prop_Unreliable_NewsG_Score_post_dur,Count_Unreliable_NewsG_Score_post_dur,Count_Reliable_NewsG_Score_post_dur,Average_domain_NewsG_Score_post_dur
1150929165,1,211,4059,5.351858133476067,3168,8.060855752934316,1550,86.4,1.7075701760979363,0.7781512503836436,0.23696682464454977,0.023696682464454975,0.9487201033226453,0.3296378418329638,0.052229613205222965,212,1338,81.16032258064516
1150929173,1,17,1085,2.833213344056216,874,6.773080375655535,922,82.07142857142857,1.1139433523068367,0.47712125471966244,0.7058823529411765,0.11764705882352941,-0.6485449669371972,0.6599078341013825,0.18986175115207374,206,716,75.29229934924078
1150929175,1,591,12026,6.3818160174060985,14783,9.60123315090109,9498,88.49396378269617,2.6910814921229687,0.9030899869919435,0.8291032148900169,0.011844331641285956,0.800253174457476,0.7802261766173291,0.009562614335606186,115,9383,88.53690250579069
1150929179,1,420,4588,6.040254711277414,4171,8.335911094196945,4426,89.65625,2.603144372620182,0,0.9523809523809523,0,-0.2721556803083993,0.9646904969485615,0,0,4426,88.93526886579303
1150929189,1,43,368,3.7612001156935624,14697,9.595398670306684,136,90,1.1760912590556813,0,0.32558139534883723,0,NaN,0.3695652173913043,0,0,136,90
1150929195,1,4,10,1.3862943611198906,109,4.6913478822291435,10,90,0.6989700043360189,0,1,0,NaN,1,0,0,10,90
1150929199,1,41,2959,3.713572066704308,3328,8.1101268019411,2847,82.375,1.6127838567197355,0,0.975609756097561,0,NaN,0.96214937478878,0,0,2847,85.03863716192484
1150929203,1,14252,497801,9.564652526725727,32952,10.402807236115917,497801,87.7536836935167,4.153906285138868,0,1,0,-1.1810066600451439,1,0,0,497801,87.85160636479236
1150929215,1,3,72,1.0986122886681098,2640,7.878534196140362,52,93.75,0.47712125471966244,0,0.6666666666666666,0,0.0860515887252107,0.7222222222222222,0,0,52,94.8076923076923
1150929223,1,62,4042,4.127134385045092,6060,8.70946507906336,3606,85.29824561403508,1.7481880270062005,0.47712125471966244,0.8870967741935484,0.03225806451612903,0.9760404424947002,0.8829787234042553,0.009153884215734785,37,3569,84.87978369384359
1150929227,1,12,5978,2.4849066497880004,251,5.5254529391317835,15,85.625,0.6989700043360189,0,0.3333333333333333,0,NaN,0.0025092004014720644,0,0,15,87
1150929237,1,255,2952,5.541263545158426,5603,8.631057447565285,2898,92.50996015936255,2.401400540781544,0,0.984313725490196,0,0.032483126119116607,0.9817073170731707,0,0,2898,94.86197377501725
1150929239,1,5,48,1.6094379124341003,162,5.087596335232384,46,87.5,0.6989700043360189,0,0.8,0,NaN,0.9583333333333334,0,0,46,81.73913043478261
1150929241,1,195,7993,5.272999558563747,1084,6.988413181999592,7993,78.25384615384615,2.24551266781415,1.3222192947339193,0.8974358974358975,0.10256410256410256,1.8314819993521512,0.8522457150006255,0.14775428499937446,1181,6812,75.46015263355436
1150929249,1,308,13974,5.730099782973574,2431,7.796057974316123,12861,87.35915492957747,2.45484486000851,0,0.922077922077922,0,-0.35590388864715933,0.920352082438815,0,0,12861,87.62382396392194
1150929251,1,177,1708,5.176149732573829,2383,7.776115477098742,1591,81.92424242424242,2.220108088040055,0,0.9322033898305084,0,0.07893949983311199,0.9314988290398126,0,0,1591,79.33218101822753
1150929263,1,17,1086,2.833213344056216,966,6.873163834212518,1086,88.82352941176471,1.255272505103306,0,1,0,NaN,1,0,0,1086,88.86279926335175
