caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_dv,Count_Reliable_NewsG_Score_dv,Count_Unreliable_NewsG_Score_dv,Prop_Reliable_NewsG_Score_dv,Prop_Unreliable_NewsG_Score_dv,partisanship_news_diet_dv,Prop_Reliable_NewsG_Score_dv_dur,Prop_Unreliable_NewsG_Score_dv_dur,Count_Unreliable_NewsG_Score_dv_dur,Count_Reliable_NewsG_Score_dv_dur,Average_domain_NewsG_Score_dv_dur
1150928299,1,208,8033,5.337538079701318,4508,8.413608875159667,6913,98.46153846153847,2.2278867046136734,0.3010299956639812,0.8076923076923077,0.004807692307692308,0.4701521203840458,0.8411552346570397,0.019419892941615835,156,6757,97.20671199189933
1150928301,1,220,8312,5.393627546352362,2614,7.868636894184167,4663,76.09174311926606,1.968482948553935,1.255272505103306,0.41818181818181815,0.07727272727272727,1.755551357476392,0.4345524542829644,0.1264436958614052,1051,3612,73.73943812995925
1150928303,1,434,82795,6.073044534100405,1884,7.5411524551363085,81944,97.32786885245902,2.630427875025024,0.3010299956639812,0.9815668202764977,0.002304147465437788,-0.4269422226030886,0.9863880669122531,0.0033335346337339212,276,81668,97.89573977350386
1150928305,1,432,17433,6.068425588244111,5260,8.567886305731756,8554,90.39464882943143,2.4683473304121573,0.8450980400142568,0.6782407407407407,0.013888888888888888,-0.479161087528002,0.41507485802787814,0.07560374003327024,1318,7236,82.47311199438859
1150928315,1,65,882,4.174387269895637,1080,6.984716320118266,864,89.15322580645162,1.7993405494535817,0,0.9538461538461539,0,NaN,0.9795918367346939,0,0,864,88.69502314814815
1150928319,1,1,9,0,49,3.8918202981106265,0,NaN,0,0,0,0,NaN,0,0,0,0,NaN
1150928325,1,97,3772,4.574710978503383,1624,7.392647520721623,1826,76.3953488372093,1.591064607026499,0.7781512503836436,0.3917525773195876,0.05154639175257732,0.8244290658526807,0.43398727465535525,0.050106044538706256,189,1637,79.06626506024097
1150928339,1,318,12316,5.762051382780177,2510,7.828038032125829,5223,94.22222222222223,1.9912260756924949,0.47712125471966244,0.3050314465408805,0.006289308176100629,0.26885933943463186,0.4114972393634297,0.012585254952906789,155,5068,93.87899674516561
1150928341,0,0,0,-Inf,38,3.6375861597263857,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1150928343,1,3437,101720,8.142354276849835,8144,9.005036738790304,66211,83.27239448751077,3.315550534421905,2.4082399653118496,0.6013965667733489,0.0741926098341577,1.1646618982475907,0.5484467164766025,0.10246755800235942,10423,55788,80.12530395251544
1150928345,1,226,7169,5.420534999272286,4702,8.455743229100015,4339,87.4342105263158,2.0253058652647704,1,0.4646017699115044,0.03982300884955752,0.9407057243884213,0.578741804993723,0.02650299902357372,190,4149,88.31309057386494
1150928347,1,34,1617,3.5263605246161616,1057,6.963189985870238,1573,90.07575757575758,1.5314789170422551,0,0.9705882352941176,0,NaN,0.9727891156462585,0,0,1573,90.67228226319135
1150928359,1,12,625,2.4849066497880004,523,6.259581464064923,261,87.07142857142857,0.9030899869919435,0,0.5833333333333334,0,0.25842572229235256,0.4176,0,0,261,80.38697318007662
1150928363,1,1540,16179,7.3395376954076745,24978,10.125750716423031,3023,87.65306122448979,2.5921767573958667,0.47712125471966244,0.2532467532467532,0.0012987012987012987,-0.7312508500175058,0.18629087088200755,5.562766549230484e-4,9,3014,89.1043665233212
1150928369,1,196,8829,5.278114659230517,1750,7.4673710669175595,6437,89.74782608695652,2.060697840353612,0.3010299956639812,0.5816326530612245,0.00510204081632653,0.7249819057929335,0.727715483067165,0.0013591573224600749,12,6425,96.49891253689607
1150928371,1,588,17587,6.376726947898627,5806,8.666647144584575,17587,87.49404761904762,2.747411807886423,1.4913616938342726,0.9489795918367347,0.05102040816326531,1.4731826100573648,0.9142548473304145,0.08574515266958549,1508,16079,85.83482117473133
1150928379,1,17,222,2.833213344056216,995,6.902742737158593,79,100,0.6989700043360189,0,0.23529411764705882,0,-1.0833958495365,0.35585585585585583,0,0,79,100
1150928397,1,230,2957,5.438079308923196,8832,9.086136768516877,2783,86.54589371980677,2.307496037913213,0.7781512503836436,0.8782608695652174,0.021739130434782608,-0.8780995768338591,0.939465674670274,0.0016909029421711193,5,2778,86.23697448796263
1150928401,1,295,23197,5.68697535633982,4859,8.488587934405903,18333,89.70676691729324,2.424881636631067,0.3010299956639812,0.8983050847457628,0.003389830508474576,-0.2852220737304207,0.7902746044747165,4.3109022718454976e-5,1,18332,90.25265913925708
1150928403,1,1,2,0,482,6.1779441140506,2,87.5,0.3010299956639812,0,1,0,-0.273270297198875,1,0,0,2,87.5
1150928413,1,531,102410,6.274762021241939,2810,7.940939762327791,101652,65.42485549132948,2.250420002308894,2.5352941200427703,0.3333333333333333,0.6440677966101694,-0.7991942623113432,0.47377209256908503,0.5188262864954595,53133,48519,71.9677281312714
1150928419,1,27,1297,3.295836866004329,1519,7.325807502595773,1024,92.625,1.3222192947339193,0,0.7407407407407407,0,-0.4601265105212098,0.7895142636854279,0,0,1024,90.15625
1150928421,1,777,18876,6.655440350367647,11346,9.336620537886512,5923,88.66666666666667,2.2355284469075487,0.6020599913279624,0.22007722007722008,0.003861003861003861,0.20823925293555812,0.3094405594405594,0.004344140707777071,82,5841,88.77283471213912
1150928431,1,1249,112143,7.130098510125578,5034,8.523970175695261,64646,82.34265175718849,2.6748611407378116,2.1903316981702914,0.377902321857486,0.1232986389111289,-0.6955827733678253,0.2694684465370108,0.30699196561533043,34427,30219,70.083686538997
1150928433,1,80,3846,4.382026634673881,7188,8.88016824790345,3135,84.48484848484848,1.7781512503836436,0.9030899869919435,0.7375,0.0875,0.22760378225285918,0.7449297971918877,0.07020280811232449,270,2865,85.68118022328548
1150928437,1,50,4913,3.912023005428146,1459,7.285506548522785,4220,98.35365853658537,1.6232492903979006,0,0.82,0,-0.46839221646761364,0.858945654386322,0,0,4220,98.70675355450237
1150928439,1,255,17334,5.541263545158426,5048,8.52674740422105,8298,93.48809523809524,2.103803720955957,0,0.49411764705882355,0,-0.4165671556213587,0.4787123572170301,0,0,8298,94.03645456736562
1150928453,1,172,1754,5.147494476813453,1822,7.507690077819904,1720,90.04518072289157,2.2121876044039577,0.6989700043360189,0.9418604651162791,0.023255813953488372,0.11049880778854337,0.9771949828962372,0.0034207525655644243,6,1714,92.94622093023256
1150928457,1,1405,49232,7.247792581767846,12094,9.400464740833158,41981,89.82567678424938,3.0827853703164503,1.0413926851582251,0.8604982206405694,0.0071174377224199285,-0.12803472868307766,0.8421351966200845,0.010582547936301593,521,41460,90.45968414282652
1150928461,1,231,22433,5.442417710521793,3405,8.133000218583613,20117,87.83185840707965,2.3560258571931225,0,0.9783549783549783,0,-0.6620147712142856,0.8967592386216734,0,0,20117,90.19212606253417
1150928463,1,349,3847,5.855071922202427,3250,8.086410275323782,781,94.37623762376238,2,0.47712125471966244,0.2836676217765043,0.0057306590257879654,1.0611607988844567,0.20171562256303613,0.0012997140629061607,5,776,92.88732394366197
1150928465,1,1356,58036,7.212294468500341,5446,8.602636673233706,57841,97.49334811529934,3.130655349022031,0.6020599913279624,0.995575221238938,0.0022123893805309734,-0.22807253393626892,0.9933144944517196,0.003325522089737404,193,57648,97.39399387977386
1150928473,1,320,25949,5.768320995793772,1339,7.199678345691172,11914,87.54901960784314,2.4082399653118496,0,0.796875,0,0.16026499889509335,0.4591313730779606,0,0,11914,87.47104247104247
1150928475,1,102,469,4.624972813284271,1447,7.277247726631484,120,90.27472527472527,1.9637878273455553,0,0.8921568627450981,0,-0.314309745902203,0.255863539445629,0,0,120,91.04166666666667
1150928479,1,170,10636,5.135798437050262,5686,8.645762292210945,10375,71.44082840236686,1.9637878273455553,1.8976270912904414,0.5352941176470588,0.4588235294117647,-0.9506315424686519,0.4960511470477623,0.47940955246333206,5099,5276,69.71233734939759
1150928505,1,10241,405833,9.234154550075438,20401,9.923339198238729,405422,87.96192570869991,4.009918084665902,0,0.9989258861439313,0,-0.9472398079816885,0.9989872681620272,0,0,405422,88.57329153326657
1150928507,1,151,5199,5.017279836814924,3116,8.044305406990638,4125,93.00729927007299,2.1335389083702174,0.47712125471966244,0.8940397350993378,0.013245033112582781,0.049988678015825946,0.7880361608001539,0.005385651086747451,28,4097,92.58606060606061
1150928515,1,31,592,3.4339872044851463,4094,8.317277766221235,368,95.17857142857143,1.1760912590556813,0,0.45161290322580644,0,0.33693059664632,0.6216216216216216,0,0,368,94.08288043478261
1150928521,1,533,34523,6.278521424165844,3730,8.224163512637862,8253,87.47938144329896,2.2810333672477277,0.6989700043360189,0.35647279549718575,0.0075046904315197,-0.6856344908045081,0.22443009008487094,0.014627929206615879,505,7748,86.10311401914456
1150928523,1,13,511,2.5649493574615367,2366,7.768956044538332,391,95.27777777777777,1,0,0.6923076923076923,0,0.29292685209654923,0.7651663405088063,0,0,391,96.32992327365729
1150928525,1,272,4614,5.605802066295998,3883,8.264363329731667,4609,83.98884758364312,2.3636119798921444,1.6020599913279623,0.8455882352941176,0.14338235294117646,-0.9165804885729274,0.9046380580840919,0.09427828348504551,435,4174,86.16022998481232
1150928529,1,140,4273,4.941642422609304,5621,8.634264863002075,3645,88.16532258064517,2.0969100130080562,0,0.8857142857142857,0,1.9593670134832775,0.8530306576175989,0,0,3645,87.83882030178326
1150928531,1,25997,325889,10.165736425730918,125561,11.740546975244023,323938,89.56452988140454,4.411653370897312,0.3010299956639812,0.9924606685386775,3.846597684348194e-5,-0.6867527648926638,0.9939795451825622,3.375382415485027e-5,11,323927,91.19037130562022
1150928533,1,134,6411,4.897839799950911,2553,7.845024417241484,978,82.36363636363636,1.3222192947339193,0.47712125471966244,0.14925373134328357,0.014925373134328358,0.3254304889821533,0.11776633910466386,0.03478396506005303,223,755,74.38496932515338
1150928535,1,77,12577,4.343805421853684,1313,7.180069874302796,12570,87.5,1.8864907251724818,0,0.987012987012987,0,NaN,0.9994434284805598,0,0,12570,87.5
1150928539,1,11,206,2.3978952727983707,1800,7.495541943884256,206,93.18181818181819,1.0791812460476249,0,1,0,NaN,1,0,0,206,94.5631067961165
1150928541,1,307,14607,5.726847747587197,6365,8.758569510991506,13617,89.73297491039426,2.444044795918076,0.47712125471966244,0.9022801302931596,0.006514657980456026,-0.09623887215567394,0.9284589580338194,0.0037653179982200316,55,13562,90.83428802232504
1150928549,1,51,2078,3.9318256327243257,456,6.1224928095143865,2078,88.2843137254902,1.7160033436347992,0,1,0,NaN,1,0,0,2078,88.68743984600577
1150928551,1,52,2332,3.9512437185814275,2319,7.7488913372555315,2212,89.56122448979592,1.6901960800285136,0.3010299956639812,0.9230769230769231,0.019230769230769232,-0.29239581780010937,0.9232418524871355,0.02530017152658662,59,2153,88.95162748643762
1150928555,1,1701,27409,7.438971592395862,9689,9.178746500385005,1805,88.62941176470588,2.5327543789924976,0,0.19988242210464433,0,0.7957205350699289,0.06585428144040278,0,0,1805,88.38781163434903
1150928563,1,352,20683,5.863631175598097,4979,8.512984346642183,20681,31.344729344729345,1.1139433523068367,2.531478917042255,0.03409090909090909,0.9630681818181818,1.6057372366685423,0.01798578542764589,0.9819175168012377,20309,372,30.55860451622262
1150928565,1,237,25500,5.4680601411351315,5954,8.691818541575723,6805,87.25233644859813,2.0170333392987803,0.6989700043360189,0.4345991561181435,0.016877637130801686,-0.2133942930328704,0.25576470588235295,0.011098039215686275,283,6522,89.22770022042616
1150928567,1,294,12624,5.683579767338681,4412,8.392083380373393,11984,83.80281690140845,2.45484486000851,0,0.9659863945578231,0,-0.607989640471067,0.9493029150823827,0,0,11984,84.49203104138851
1150928569,1,252,13632,5.529429087511423,1442,7.273786317844895,13357,89.65020576131687,2.387389826338729,0,0.9642857142857143,0,-0.6109573347537927,0.9798268779342723,0,0,13357,89.95096204237478
1150928587,1,107,4074,4.672828834461906,1569,7.358193752733032,3617,90.72941176470589,1.9294189257142926,0.3010299956639812,0.7850467289719626,0.009345794392523364,-0.4637600260636586,0.8551791850760923,0.03264604810996564,133,3484,89.36991982305778
1150928589,1,110,311,4.700480365792417,2506,7.826443135456014,85,88.625,1.6127838567197355,0,0.36363636363636365,0,0.31424404582577725,0.2733118971061093,0,0,85,86.79411764705883
1150928593,1,39,4499,3.6635616461296463,4764,8.46884293047519,2472,89.875,1.3222192947339193,0,0.5128205128205128,0,-0.6870407331132831,0.5494554345410091,0,0,2472,91.10740291262135
1150928595,1,8,149,2.0794415416798357,454,6.118097198041348,64,72.91666666666667,0.8450980400142568,0,0.75,0,-0.556524128475181,0.42953020134228187,0,0,64,72.734375
